iter	MultiClass
0	2.066528516
1	1.817560156
2	1.655326172
3	1.534840104
4	1.441194531
5	1.366932682
6	1.303410156
7	1.251028385
8	1.20598151
9	1.168052865
10	1.134201172
11	1.106136589
12	1.081150326
13	1.059686979
14	1.040261589
15	1.023702083
16	1.008291992
17	0.994698763
18	0.9831550781
19	0.9725773438
20	0.9627579427
21	0.9540604818
22	0.945783138
23	0.9381534505
24	0.9322669271
25	0.9260980469
26	0.9208559896
27	0.9165014323
28	0.9122476563
29	0.9081520833
30	0.9051106771
31	0.9018157552
32	0.8987932943
33	0.8962690755
34	0.8935358073
35	0.8912871094
36	0.8894864583
37	0.8877449219
38	0.8860667318
39	0.8843755208
40	0.8826584635
41	0.881294401
42	0.8798823568
43	0.8788810547
44	0.8775171224
45	0.8761372396
46	0.8750291667
47	0.8738901042
48	0.8726944661
49	0.8718247396
50	0.8710330729
51	0.8702307943
52	0.8692358073
53	0.8684156901
54	0.8676645833
55	0.866790625
56	0.865716862
57	0.8649018229
58	0.8642288411
59	0.8637748047
60	0.8632604818
61	0.8624017578
62	0.8615769531
63	0.8610472656
64	0.8603739583
65	0.8598468099
66	0.8594007812
67	0.8586697917
68	0.8580809896
69	0.8577246094
70	0.8570423828
71	0.8565957682
72	0.8560953125
73	0.8555559245
74	0.8547841146
75	0.8542284505
76	0.8534523438
77	0.8530285807
78	0.8523545573
79	0.8520380208
80	0.851594987
81	0.8510938802
82	0.8505853516
83	0.8501173828
84	0.8496066406
85	0.8493384766
86	0.8486228516
87	0.8483725911
88	0.8480404297
89	0.8475472656
90	0.8470525391
91	0.846631901
92	0.8462871094
93	0.8460352865
94	0.8456374349
95	0.8452646484
96	0.8447639323
97	0.8444745443
98	0.8440570964
99	0.8437156901
100	0.8434632813
101	0.8432728516
102	0.8429483073
103	0.8425065104
104	0.842210026
105	0.8417995443
106	0.8414009115
107	0.8411201823
108	0.8408140625
109	0.8405375651
110	0.8403454427
111	0.8399608724
112	0.8396923828
113	0.8394791667
114	0.8392018229
115	0.8388295573
116	0.8384692057
117	0.8381644531
118	0.8379039714
119	0.8376421875
120	0.8373836589
121	0.8370402995
122	0.8366763021
123	0.8363470052
124	0.8358969401
125	0.8356225911
126	0.8353092448
127	0.8349983724
128	0.834791276
129	0.8346151042
130	0.8343281901
131	0.8340207682
132	0.833766276
133	0.8335516276
134	0.833225
135	0.8330098307
136	0.8328563151
137	0.8324869792
138	0.8323018229
139	0.832046224
140	0.8318775391
141	0.8317052083
142	0.8314689453
143	0.8312869792
144	0.8310304687
145	0.8308904948
146	0.8307462891
147	0.8305586589
148	0.830274349
149	0.8301320964
150	0.8298615234
151	0.8296811849
152	0.8295940104
153	0.8292496094
154	0.8290466797
155	0.8289514974
156	0.8286416667
157	0.8283346354
158	0.828069987
159	0.8278572917
160	0.8276383464
161	0.8274695313
162	0.8272670573
163	0.8270270182
164	0.8268419922
165	0.8266491536
166	0.8264632161
167	0.8263546875
168	0.8262645833
169	0.8260895833
170	0.8258474609
171	0.8257208333
172	0.8254822266
173	0.8251503906
174	0.8249483724
175	0.8248141276
176	0.8246302083
177	0.824360612
178	0.8242733724
179	0.8240545573
180	0.8238449219
181	0.8237519531
182	0.8235719401
183	0.8234119792
184	0.8233314453
185	0.8231333333
186	0.8229042318
187	0.8228307292
188	0.822617513
189	0.8225085286
190	0.8223548828
191	0.8221308594
192	0.822009375
193	0.8218169922
194	0.8216516276
195	0.8214796875
196	0.8212927083
197	0.8210325521
198	0.8208905599
199	0.8207110026
200	0.8206079427
201	0.8204565755
202	0.8201742187
203	0.8201072266
204	0.8199376302
205	0.8198819661
