iter	Passed	Remaining
0	42	42098
1	83	41854
2	130	43431
3	174	43341
4	215	42963
5	258	42893
6	298	42347
7	353	43882
8	398	43917
9	438	43436
10	489	43987
11	540	44475
12	591	44892
13	640	45108
14	693	45556
15	748	46026
16	795	46006
17	840	45831
18	893	46126
19	944	46272
20	991	46225
21	1041	46300
22	1083	46021
23	1125	45771
24	1175	45833
25	1213	45458
26	1264	45556
27	1308	45422
28	1350	45213
29	1398	45231
30	1439	44994
31	1484	44908
32	1530	44862
33	1568	44564
34	1612	44449
35	1652	44245
36	1689	43982
37	1731	43826
38	1771	43658
39	1803	43292
40	1840	43061
41	1880	42893
42	1924	42827
43	1965	42703
44	2007	42597
45	2042	42366
46	2085	42283
47	2135	42353
48	2181	42330
49	2223	42253
50	2265	42146
51	2305	42032
52	2345	41913
53	2386	41799
54	2425	41669
55	2465	41554
56	2658	43975
57	2690	43703
58	2735	43627
59	2775	43486
60	2814	43321
61	2865	43350
62	2925	43508
63	2959	43285
64	3019	43434
65	3064	43373
66	3109	43300
67	3154	43231
68	3207	43282
69	3251	43194
70	3288	43024
71	3332	42952
72	3371	42813
73	3408	42658
74	3455	42615
75	3498	42532
76	3545	42500
77	3600	42554
78	3638	42413
79	3677	42294
80	3723	42242
81	3768	42189
82	3804	42029
83	3852	42011
84	3915	42153
85	3959	42080
86	4009	42079
87	4062	42098
88	4099	41965
89	4154	42006
90	4205	42009
91	4259	42039
92	4294	41883
93	4331	41752
94	4375	41684
95	4423	41653
96	4464	41562
97	4510	41511
98	4558	41491
99	4600	41406
100	4642	41319
101	4681	41219
102	4722	41129
103	4760	41016
104	4802	40939
105	4854	40944
106	4895	40854
107	4939	40796
108	4973	40652
109	5021	40625
110	5058	40513
111	5105	40478
112	5150	40428
113	5193	40366
114	5229	40248
115	5281	40250
116	5327	40208
117	5369	40132
118	5411	40063
119	5447	39948
120	5488	39874
121	5542	39887
122	5590	39857
123	5640	39845
124	5690	39830
125	5734	39776
126	5795	39835
127	5837	39770
128	5884	39732
129	5921	39628
130	5983	39690
131	6019	39585
132	6055	39475
133	6113	39508
134	6181	39606
135	6225	39551
136	6264	39463
137	6314	39440
138	6352	39350
139	6395	39284
140	6445	39267
141	6479	39150
142	6527	39119
143	6577	39101
144	6632	39109
145	6689	39128
146	6735	39084
147	6777	39013
148	6857	39168
149	6890	39043
150	6935	38995
151	6977	38926
152	7013	38826
153	7064	38806
154	7100	38706
155	7136	38612
156	7197	38644
157	7243	38601
158	7281	38516
159	7323	38446
160	7366	38389
161	7408	38322
162	7462	38319
163	7513	38298
164	7552	38221
165	7598	38173
166	7648	38150
167	7684	38057
168	7728	38000
169	7778	37979
170	7832	37973
171	7883	37950
172	7946	37986
173	7996	37959
174	8039	37899
175	8079	37826
176	8126	37785
177	8177	37761
178	8210	37657
179	8247	37573
180	8286	37493
181	8323	37407
182	8363	37339
183	8407	37287
184	8448	37217
185	8489	37153
186	8537	37115
187	8567	37006
188	8615	36970
189	8658	36914
190	8695	36830
191	8744	36800
192	8782	36722
193	8822	36655
194	8859	36573
195	8901	36515
196	8940	36440
197	8995	36435
198	9037	36376
199	9093	36373
200	9127	36282
201	9169	36225
202	9208	36154
203	9239	36053
204	9280	35991
205	9311	35891
206	9355	35838
207	9386	35740
208	9420	35653
209	9463	35602
210	9495	35506
211	9536	35446
212	9578	35392
213	9618	35329
214	9654	35251
215	9699	35204
216	9757	35207
217	9810	35191
218	9861	35166
219	9895	35083
220	9942	35046
221	9981	34978
222	10021	34916
223	10070	34888
224	10108	34818
225	10151	34766
226	10198	34729
227	10238	34667
228	10273	34587
229	10311	34519
230	10342	34430
231	10377	34352
232	10411	34273
233	10449	34206
234	10486	34137
235	10522	34062
236	10563	34008
237	10599	33937
238	10633	33859
239	10678	33816
240	10713	33741
241	10759	33700
242	10801	33647
243	10839	33583
244	10877	33519
245	10919	33468
246	10959	33409
247	11005	33371
248	11058	33352
249	11090	33270
250	11125	33198
251	11169	33155
252	11211	33101
253	11255	33056
254	11293	32995
255	11337	32949
256	11380	32902
257	11417	32837
258	11455	32773
259	11487	32694
260	11526	32635
261	11576	32609
262	11614	32546
263	11651	32482
264	11687	32417
265	11731	32371
266	11772	32319
